Janela de Commits;Métodos Válidos;Métodos Avaliados(Alguma Sugestão);Índice real Commits;Sugestões Úteis;Sugestões Inúteis;Corretude Geral;Métodos Codif. Automaticamente;Métodos Codif. Manualmente;Perc. de Automatização Geral;F-Measure Geral;Corretude;StdDev Corretude;Perc. de Automatização;StdDev Perc. de Automatização;F-Measure;StdDev F-Measure
0 a 50;276;188;205 (Mon Oct 04 03:15:01 BRT 2010[null]);218;595;0.269;437;1081;0.288;0.279;0.289;0.273;0.257;0.255;0.250;0.229
5 a 55;275;172;219 (Mon Oct 04 23:58:36 BRT 2010[null]);201;527;0.277;399;997;0.286;0.282;0.296;0.280;0.254;0.257;0.252;0.235
10 a 60;251;153;243 (Thu Oct 07 21:10:43 BRT 2010[null]);185;487;0.276;390;970;0.287;0.282;0.294;0.276;0.247;0.250;0.247;0.234
15 a 65;218;122;260 (Sun Oct 10 11:15:51 BRT 2010[null]);126;371;0.254;294;862;0.255;0.255;0.283;0.284;0.211;0.241;0.221;0.233
20 a 70;211;117;271 (Wed Oct 13 21:55:39 BRT 2010[null]);117;360;0.246;266;831;0.243;0.245;0.270;0.286;0.191;0.237;0.204;0.230
25 a 75;209;116;278 (Thu Oct 14 21:56:13 BRT 2010[null]);118;367;0.244;276;846;0.246;0.245;0.264;0.280;0.189;0.237;0.202;0.230
30 a 80;209;114;306 (Fri Mar 11 22:13:38 BRT 2011[null]);118;352;0.252;272;849;0.243;0.248;0.259;0.266;0.190;0.234;0.200;0.224
35 a 85;210;122;325 (Wed Apr 13 02:14:25 BRT 2011[null]);105;351;0.231;231;817;0.221;0.226;0.212;0.243;0.165;0.220;0.169;0.209
40 a 90;211;121;341 (Tue Aug 30 14:22:38 BRT 2011[null]);98;360;0.214;203;788;0.205;0.210;0.195;0.233;0.157;0.216;0.160;0.204
45 a 95;240;144;392 (Wed Nov 16 00:47:59 BRST 2011[null]);99;406;0.197;217;903;0.194;0.196;0.170;0.227;0.130;0.202;0.137;0.196
50 a 100;165;104;411 (Wed Feb 22 17:20:01 BRST 2012[null]);63;306;0.171;150;637;0.191;0.181;0.125;0.206;0.099;0.175;0.106;0.182
55 a 105;159;111;421 (Thu Mar 01 14:45:11 BRT 2012[null]);71;332;0.177;167;661;0.202;0.189;0.128;0.205;0.106;0.176;0.113;0.183
60 a 110;139;105;461 (Tue Mar 13 23:48:08 BRT 2012[null]);59;323;0.155;117;598;0.164;0.160;0.101;0.161;0.089;0.146;0.091;0.143
65 a 115;147;112;501 (Thu Mar 22 18:49:11 BRT 2012[null]);63;316;0.167;134;614;0.180;0.174;0.160;0.279;0.107;0.171;0.119;0.187
70 a 120;165;113;522 (Fri Mar 30 10:12:16 BRT 2012[null]);60;307;0.164;135;632;0.177;0.171;0.165;0.276;0.116;0.185;0.124;0.185
75 a 125;162;109;537 (Wed Apr 04 20:04:27 BRT 2012[null]);58;277;0.174;124;609;0.170;0.172;0.183;0.299;0.119;0.190;0.130;0.193
80 a 130;161;110;575 (Mon Apr 16 17:37:17 BRT 2012[null]);57;296;0.162;123;609;0.169;0.166;0.174;0.295;0.113;0.188;0.124;0.190
85 a 135;134;88;597 (Thu Jun 07 20:23:48 BRT 2012[null]);57;252;0.185;163;575;0.221;0.202;0.232;0.337;0.143;0.214;0.160;0.217
90 a 140;137;95;622 (Fri Aug 10 11:34:07 BRT 2012[null]);67;252;0.211;177;713;0.199;0.205;0.242;0.330;0.139;0.215;0.160;0.216
95 a 145;98;65;630 (Fri Aug 10 19:53:17 BRT 2012[null]);54;177;0.234;136;527;0.206;0.220;0.305;0.366;0.169;0.247;0.194;0.241
100 a 150;108;70;648 (Thu Nov 29 14:00:37 BRST 2012[null]);60;196;0.235;147;573;0.205;0.219;0.300;0.366;0.165;0.243;0.192;0.242
105 a 155;138;97;656 (Thu Nov 29 14:29:06 BRST 2012[null]);70;270;0.206;165;712;0.189;0.198;0.330;0.406;0.154;0.261;0.189;0.263
110 a 160;159;103;671 (Fri Nov 30 14:45:09 BRST 2012[null]);73;278;0.208;174;762;0.186;0.197;0.330;0.402;0.149;0.259;0.188;0.261
115 a 165;156;102;717 (Tue Apr 16 20:23:32 BRT 2013[null]);74;306;0.195;170;791;0.177;0.186;0.269;0.358;0.134;0.224;0.161;0.226
120 a 170;139;102;733 (Wed Apr 17 11:39:33 BRT 2013[null]);74;312;0.192;166;818;0.169;0.180;0.279;0.373;0.121;0.222;0.156;0.233
125 a 175;155;116;787 (Thu May 16 11:29:26 BRT 2013[null]);75;331;0.185;170;904;0.159;0.172;0.256;0.367;0.110;0.211;0.141;0.223
130 a 180;155;116;807 (Wed Jul 10 09:11:50 BRT 2013[null]);73;326;0.183;168;888;0.160;0.171;0.261;0.374;0.110;0.215;0.142;0.226
135 a 185;157;114;847 (ULTIMO);66;314;0.174;120;809;0.130;0.149;0.244;0.365;0.099;0.205;0.129;0.217
